profile_id,canonical_label,raw_phrase,source_section,context_text,evidence_year,evidence_start_year,evidence_end_year,source_weight,explicit,controlled
f51d9950-317d-4686-bb1b-d74cfed898dc,Machine Learning,Machine Learning,linkedin_headline,Assistant Professor at Mount Royal University | Machine Learning & Medical Image Processing,0,0,0,0.92,False,True
f51d9950-317d-4686-bb1b-d74cfed898dc,Medical Image Processing,Medical Image Processing,linkedin_headline,Assistant Professor at Mount Royal University | Machine Learning & Medical Image Processing,0,0,0,0.92,False,True
f51d9950-317d-4686-bb1b-d74cfed898dc,Biomedical Engineering,Biomedical Engineering,linkedin_about,"I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis. My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data, leveraging CNNs and large datasets like the Human Connectome Project. Passionate about innovative solutions in biomedical imaging, I aim to advance non-invasive physiological measurement techniques for both clinical and research applications. For a full list of my publications, please visit my Google Scholar profile: http",0,0,0,0.82,False,True
f51d9950-317d-4686-bb1b-d74cfed898dc,Biomedical Imaging,Biomedical Imaging,linkedin_about,"I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis. My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data, leveraging CNNs and large datasets like the Human Connectome Project. Passionate about innovative solutions in biomedical imaging, I aim to advance non-invasive physiological measurement techniques for both clinical and research applications. For a full list of my publications, please visit my Google Scholar profile: http",0,0,0,0.82,False,True
f51d9950-317d-4686-bb1b-d74cfed898dc,Convolutional Neural Networks,CNNs,linkedin_about,"I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis. My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data, leveraging CNNs and large datasets like the Human Connectome Project. Passionate about innovative solutions in biomedical imaging, I aim to advance non-invasive physiological measurement techniques for both clinical and research applications. For a full list of my publications, please visit my Google Scholar profile: http",0,0,0,0.82,False,True
f51d9950-317d-4686-bb1b-d74cfed898dc,Data Analysis,Data Analysis,linkedin_about,"I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis. My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data, leveraging CNNs and large datasets like the Human Connectome Project. Passionate about innovative solutions in biomedical imaging, I aim to advance non-invasive physiological measurement techniques for both clinical and research applications. For a full list of my publications, please visit my Google Scholar profile: http",0,0,0,0.82,False,True
f51d9950-317d-4686-bb1b-d74cfed898dc,Functional MRI,fMRI,linkedin_about,"I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis. My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data, leveraging CNNs and large datasets like the Human Connectome Project. Passionate about innovative solutions in biomedical imaging, I aim to advance non-invasive physiological measurement techniques for both clinical and research applications. For a full list of my publications, please visit my Google Scholar profile: http",0,0,0,0.82,False,True
f51d9950-317d-4686-bb1b-d74cfed898dc,Heart Rate Variability,Heart Rate Variability,linkedin_about,"I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis. My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data, leveraging CNNs and large datasets like the Human Connectome Project. Passionate about innovative solutions in biomedical imaging, I aim to advance non-invasive physiological measurement techniques for both clinical and research applications. For a full list of my publications, please visit my Google Scholar profile: http",0,0,0,0.82,False,True
f51d9950-317d-4686-bb1b-d74cfed898dc,Machine Learning,Machine Learning,linkedin_about,"I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis. My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data, leveraging CNNs and large datasets like the Human Connectome Project. Passionate about innovative solutions in biomedical imaging, I aim to advance non-invasive physiological measurement techniques for both clinical and research applications. For a full list of my publications, please visit my Google Scholar profile: http",0,0,0,0.82,False,True
f51d9950-317d-4686-bb1b-d74cfed898dc,Non-Invasive Physiological Measurement,Non-Invasive Physiological Measurement,linkedin_about,"I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis. My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data, leveraging CNNs and large datasets like the Human Connectome Project. Passionate about innovative solutions in biomedical imaging, I aim to advance non-invasive physiological measurement techniques for both clinical and research applications. For a full list of my publications, please visit my Google Scholar profile: http",0,0,0,0.82,False,True
